subject	models	generation	group	preCompDelta	preCompBias	preWarmDelta	preWarmBias	postCompDelta	postCompBias	postWarmDelta	postWarmBias	agree	agreeTotal	agreeBias	agreeMax	obs	obsTotal	obsBias	hamming
43	1	8	IG	-0.5	OG	0.5	IG	0.5	IG	-1	OG	13	13	IG	20	20	20	IG	24
43	1	8	OG	-0.5	OG	0.5	IG	0.5	IG	-1	OG	0	13	IG	0	0	20	IG	29
44	1	8	IG	0	Unbiased	1	IG	-0.5	OG	0	Unbiased	10	10	IG	20	20	20	IG	28
44	1	8	OG	0	Unbiased	1	IG	-0.5	OG	0	Unbiased	0	10	IG	0	0	20	IG	35
45	1	8	IG	1.5	IG	2	IG	0	Unbiased	1.5	IG	5	11	OG	12	12	20	IG	37
45	1	8	OG	1.5	IG	2	IG	0	Unbiased	1.5	IG	6	11	OG	8	8	20	IG	32
46	1	8	IG	0.5	IG	1	IG	0	Unbiased	0	Unbiased	14	15	IG	19	19	20	IG	22
46	1	8	OG	0.5	IG	1	IG	0	Unbiased	0	Unbiased	1	15	IG	1	1	20	IG	25
47	1	8	IG	1	IG	-0.5	OG	1	IG	0	Unbiased	6	20	OG	6	6	20	OG	25
47	1	8	OG	1	IG	-0.5	OG	1	IG	0	Unbiased	14	20	OG	14	14	20	OG	18
48	1	9	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	20	20	IG	20	20	20	IG	18
48	1	9	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	0	20	IG	0	0	20	IG	35
49	1	9	IG	-0.5	OG	2	IG	1.5	IG	1	IG	4	9	OG	12	12	20	IG	35
49	1	9	OG	-0.5	OG	2	IG	1.5	IG	1	IG	5	9	OG	8	8	20	IG	34
50	1	9	IG	0	Unbiased	0	Unbiased	0.5	IG	0	Unbiased	9	20	OG	9	9	20	OG	26
50	1	9	OG	0	Unbiased	0	Unbiased	0.5	IG	0	Unbiased	11	20	OG	11	11	20	OG	21
51	1	9	IG	-1	OG	0	Unbiased	-1	OG	0.5	IG	0	10	OG	0	0	20	OG	38
51	1	9	OG	-1	OG	0	Unbiased	-1	OG	0.5	IG	10	10	OG	20	20	20	OG	25
52	1	9	IG	-0.5	OG	-1	OG	0	Unbiased	1	IG	6	12	Unbiased	10	10	20	Unbiased	30
52	1	9	OG	-0.5	OG	-1	OG	0	Unbiased	1	IG	6	12	Unbiased	10	10	20	Unbiased	23
53	1	9	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	15	17	IG	18	18	20	IG	20
53	1	9	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	2	17	IG	2	2	20	IG	27
54	2	1	IG	1	IG	0	Unbiased	0	Unbiased	-1	OG	20	20	IG	30	40	40	IG	32
54	2	1	OG	1	IG	0	Unbiased	0	Unbiased	-1	OG	0	20	IG	0	0	40	IG	30
55	2	1	IG	1	IG	-0.5	OG	0.5	IG	-0.5	OG	20	21	IG	26	38	40	IG	29
55	2	1	OG	1	IG	-0.5	OG	0.5	IG	-0.5	OG	1	21	IG	1	2	40	IG	31
56	2	1	IG	-1	OG	0.5	IG	0	Unbiased	1.5	IG	17	28	IG	20	24	40	IG	26
56	2	1	OG	-1	OG	0.5	IG	0	Unbiased	1.5	IG	11	28	IG	14	16	40	IG	24
57	2	1	IG	0.5	IG	-0.5	OG	0	Unbiased	0	Unbiased	17	29	IG	19	19	40	OG	21
57	2	1	OG	0.5	IG	-0.5	OG	0	Unbiased	0	Unbiased	12	29	IG	21	21	40	OG	25
58	2	1	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	21	21	IG	31	40	40	IG	28
58	2	1	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	0	21	IG	0	0	40	IG	24
59	2	1	IG	0	Unbiased	0.5	IG	0	Unbiased	1	IG	9	24	OG	14	16	40	OG	25
59	2	1	OG	0	Unbiased	0.5	IG	0	Unbiased	1	IG	15	24	OG	19	24	40	OG	25
60	2	2	IG	1	IG	0.5	IG	0.5	IG	0	Unbiased	18	22	IG	21	28	40	IG	23
60	2	2	OG	1	IG	0.5	IG	0.5	IG	0	Unbiased	4	22	IG	11	12	40	IG	46
61	2	2	IG	-1	OG	-0.5	OG	1	IG	0	Unbiased	14	30	OG	17	19	40	OG	19
61	2	2	OG	-1	OG	-0.5	OG	1	IG	0	Unbiased	16	30	OG	21	21	40	OG	20
62	2	2	IG	2	IG	2	IG	2	IG	2	IG	15	27	IG	20	20	40	Unbiased	28
62	2	2	OG	2	IG	2	IG	2	IG	2	IG	12	27	IG	20	20	40	Unbiased	27
63	2	2	IG	1	IG	1.5	IG	0.5	IG	0.5	IG	26	26	IG	35	39	40	IG	25
63	2	2	OG	1	IG	1.5	IG	0.5	IG	0.5	IG	0	26	IG	1	1	40	IG	32
64	2	2	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	35	35	IG	35	40	40	IG	12
64	2	2	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	0	35	IG	0	0	40	IG	27
65	2	2	IG	0.5	IG	-0.5	OG	0	Unbiased	0.5	IG	14	27	IG	21	21	40	IG	23
65	2	2	OG	0.5	IG	-0.5	OG	0	Unbiased	0.5	IG	13	27	IG	19	19	40	IG	28
66	2	3	IG	2.5	IG	2	IG	1	IG	0.5	IG	21	25	IG	24	31	40	IG	21
66	2	3	OG	2.5	IG	2	IG	1	IG	0.5	IG	4	25	IG	5	9	40	IG	34
67	2	3	IG	1.5	IG	1.5	IG	0.5	IG	0	Unbiased	15	20	IG	18	19	40	OG	28
67	2	3	OG	1.5	IG	1.5	IG	0.5	IG	0	Unbiased	5	20	IG	17	21	40	OG	33
68	2	3	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	16	28	IG	17	20	40	Unbiased	26
68	2	3	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	12	28	IG	16	20	40	Unbiased	27
