subject	time	group	competent	capable	warm	friendly
89	post	IG	5	4	4	2
89	post	OG	4	3	3	2
90	pre	IG	4	3	3	3
90	pre	OG	2	2	2	3
90	post	IG	2	3	3	3
90	post	OG	2	2	2	3
91	pre	IG	4	5	5	4
91	pre	OG	3	3	3	4
91	post	IG	5	5	4	4
91	post	OG	4	4	4	5
92	pre	IG	4	4	4	4
92	pre	OG	4	4	5	4
92	post	IG	4	4	4	4
92	post	OG	4	4	5	4
93	pre	IG	4	4	3	4
93	pre	OG	4	4	4	3
93	post	IG	4	3	3	4
93	post	OG	4	3	3	4
94	pre	IG	4	4	3	3
94	pre	OG	3	4	4	4
94	post	IG	3	3	3	4
94	post	OG	4	4	3	5
95	pre	IG	4	5	4	5
95	pre	OG	4	5	4	5
95	post	IG	5	5	4	4
95	post	OG	5	5	4	4
96	pre	IG	4	4	4	3
96	pre	OG	3	3	2	3
96	post	IG	4	4	4	4
96	post	OG	4	4	3	4
97	pre	IG	4	5	4	5
97	pre	OG	4	3	3	3
97	post	IG	5	4	5	4
97	post	OG	4	3	3	3
98	pre	IG	5	5	5	5
98	pre	OG	5	5	5	5
98	post	IG	5	5	5	5
98	post	OG	5	5	5	4
99	pre	IG	4	4	5	3
99	pre	OG	5	5	3	4
99	post	IG	4	4	5	3
99	post	OG	5	5	3	4
100	pre	IG	3	3	3	3
100	pre	OG	4	4	4	4
100	post	IG	4	4	4	4
100	post	OG	4	4	4	4
101	pre	IG	4	4	3	3
101	pre	OG	3	3	3	3
101	post	IG	5	5	5	5
101	post	OG	3	3	3	3
102	pre	IG	3	3	4	3
102	pre	OG	3	2	2	3
102	post	IG	3	3	4	3
102	post	OG	4	2	2	3
103	pre	IG	4	4	5	5
103	pre	OG	4	3	3	2
103	post	IG	4	4	3	5
103	post	OG	4	3	3	2
104	pre	IG	4	5	4	5
104	pre	OG	4	4	3	5
104	post	IG	4	5	4	5
104	post	OG	4	4	3	3
105	pre	IG	5	5	4	4
105	pre	OG	4	5	5	5
105	post	IG	5	5	4	5
105	post	OG	4	5	5	5
106	pre	IG	4	4	4	4
106	pre	OG	3	3	3	3
106	post	IG	4	4	4	4
106	post	OG	4	4	4	4
107	pre	IG	4	4	3	3
107	pre	OG	4	4	3	3
107	post	IG	2	2	3	3
107	post	OG	3	3	3	3
108	pre	IG	4	3	4	3
108	pre	OG	4	5	4	5
108	post	IG	5	4	5	4
108	post	OG	3	4	5	4
109	pre	IG	4	5	4	5
109	pre	OG	1	3	2	2
109	post	IG	5	4	4	4
109	post	OG	4	3	3	4
110	pre	IG	4	4	2	4
110	pre	OG	3	4	3	4
110	post	IG	3	4	3	4
110	post	OG	4	3	4	3
111	pre	IG	5	4	4	4
111	pre	OG	4	3	3	3
111	post	IG	4	4	3	3
111	post	OG	4	3	3	4
112	pre	IG	4	2	3	3
112	pre	OG	5	3	4	2
112	post	IG	4	2	3	2
112	post	OG	3	1	2	2
113	pre	IG	3	3	4	4
113	pre	OG	3	3	4	4
113	post	IG	4	4	4	4
113	post	OG	4	4	4	3
114	pre	IG	3	3	3	4
114	pre	OG	3	2	3	3
114	post	IG	3	2	2	3
114	post	OG	3	3	2	3
115	pre	IG	4	3	3	4
115	pre	OG	1	3	5	4
115	post	IG	2	4	5	4
115	post	OG	4	2	3	4
116	pre	IG	4	3	3	4
116	pre	OG	4	5	4	3
116	post	IG	3	3	2	3
116	post	OG	4	3	3	2
117	pre	IG	5	5	5	5
117	pre	OG	5	5	5	5
117	post	IG	5	5	5	5
117	post	OG	5	5	5	5
118	pre	IG	4	5	4	5
118	pre	OG	4	5	4	5
118	post	IG	5	4	5	4
118	post	OG	5	4	5	4
119	pre	IG	5	5	4	4
119	pre	OG	3	3	3	2
119	post	IG	3	2	2	3
119	post	OG	4	4	3	3
120	pre	IG	4	4	5	4
120	pre	OG	3	4	3	5
120	post	IG	5	4	4	5
120	post	OG	4	3	4	3
121	pre	IG	4	3	4	5
121	pre	OG	4	4	4	3
121	post	IG	5	3	3	5
121	post	OG	5	4	4	4
122	pre	IG	5	5	4	5
122	pre	OG	1	2	1	2
122	post	IG	4	4	3	4
122	post	OG	4	4	3	3
123	pre	IG	5	5	5	5
123	pre	OG	5	5	4	4
123	post	IG	4	5	4	4
123	post	OG	4	5	4	5
124	pre	IG	4	4	3	4
124	pre	OG	3	3	3	3
124	post	IG	4	4	4	4
124	post	OG	4	4	4	4
125	pre	IG	3	4	4	4
125	pre	OG	4	4	3	4
125	post	IG	3	3	4	3
125	post	OG	3	3	4	4
126	pre	IG	5	5	5	5
126	pre	OG	3	3	3	3
126	post	IG	5	5	5	5
126	post	OG	5	5	5	5
127	pre	IG	4	5	4	4
127	pre	OG	2	1	2	3
127	post	IG	4	4	3	2
127	post	OG	3	4	5	5
128	pre	IG	3	4	4	4
128	pre	OG	3	4	4	4
128	post	IG	3	4	4	4
128	post	OG	3	4	4	4
129	pre	IG	3	3	3	2
129	pre	OG	3	3	3	3
129	post	IG	4	4	3	3
129	post	OG	3	3	3	2
130	pre	IG	4	5	4	5
130	pre	OG	4	4	5	5
130	post	IG	5	4	5	5
130	post	OG	4	4	5	5
131	pre	IG	4	4	4	4
131	pre	OG	3	2	3	3
131	post	IG	3	4	4	4
131	post	OG	3	3	3	3
132	pre	IG	4	4	4	4
132	pre	OG	3	3	4	3
132	post	IG	4	4	3	3
132	post	OG	4	3	4	3
133	pre	IG	4	4	3	3
133	pre	OG	3	3	3	3
133	post	IG	4	4	3	3
133	post	OG	3	3	3	3
134	pre	IG	4	4	4	4
134	pre	OG	3	3	3	4
134	post	IG	4	4	4	4
134	post	OG	3	3	3	3
135	pre	IG	4	4	3	4
135	pre	OG	4	4	4	3
135	post	IG	4	3	4	3
135	post	OG	3	3	3	3
136	pre	IG	5	5	5	5
136	pre	OG	4	4	4	4
136	post	IG	5	5	5	5
136	post	OG	5	3	4	3
137	pre	IG	4	5	4	4
137	pre	OG	3	4	4	4
137	post	IG	5	5	4	4
137	post	OG	4	4	4	4
138	pre	IG	4	4	4	4
138	pre	OG	3	3	3	3
138	post	IG	4	4	4	4
138	post	OG	3	4	2	3
139	pre	IG	3	3	3	3
139	pre	OG	3	3	3	3
139	post	IG	3	3	3	3
139	post	OG	3	3	3	3
140	pre	IG	4	4	4	4
140	pre	OG	4	4	3	3
140	post	IG	4	4	4	4
140	post	OG	4	4	4	4
141	pre	IG	5	5	4	4
141	pre	OG	4	4	3	3
141	post	IG	5	5	5	5
141	post	OG	4	4	4	4
142	pre	IG	3	3	4	2
142	pre	OG	3	3	4	4
142	post	IG	4	2	3	3
142	post	OG	5	2	4	3
143	pre	IG	4	4	2	4
143	pre	OG	4	4	2	4
143	post	IG	4	4	2	4
143	post	OG	5	5	3	4
144	pre	IG	5	5	4	4
144	pre	OG	2	3	3	3
144	post	IG	5	5	5	4
144	post	OG	5	5	5	4
145	pre	IG	4	4	4	4
145	pre	OG	4	4	4	4
145	post	IG	4	4	4	4
145	post	OG	3	4	4	4
146	pre	IG	3	2	3	2
146	pre	OG	3	2	2	3
146	post	IG	2	2	4	3
146	post	OG	2	2	2	2
147	pre	IG	3	5	5	4
147	pre	OG	3	3	2	3
147	post	IG	4	5	5	5
147	post	OG	3	4	3	4
148	pre	IG	5	5	5	5
148	pre	OG	4	3	5	4
148	post	IG	4	5	5	5
148	post	OG	4	3	4	2
149	pre	IG	4	3	3	2
149	pre	OG	2	3	3	3
149	post	IG	2	3	3	3
149	post	OG	2	3	3	3
150	pre	IG	5	4	4	5
150	pre	OG	5	5	5	4
150	post	IG	5	5	5	4
150	post	OG	5	4	4	5
151	pre	IG	3	2	3	2
151	pre	OG	2	3	2	3
151	post	IG	3	3	3	2
151	post	OG	2	3	3	2
152	pre	IG	3	4	4	4
152	pre	OG	1	1	1	1
152	post	IG	4	4	3	4
152	post	OG	1	1	1	1
153	pre	IG	4	4	4	4
153	pre	OG	2	3	3	2
153	post	IG	3	3	2	2
153	post	OG	3	3	2	2
154	pre	IG	5	5	5	5
154	pre	OG	3	3	3	3
154	post	IG	4	4	4	4
154	post	OG	4	4	5	4
155	pre	IG	4	3	3	4
155	pre	OG	4	3	3	4
155	post	IG	4	4	4	5
155	post	OG	4	4	4	5
156	pre	IG	4	5	4	4
156	pre	OG	4	3	2	3
156	post	IG	3	4	3	4
156	post	OG	2	3	2	3
157	pre	IG	5	5	4	5
157	pre	OG	3	2	2	3
157	post	IG	5	5	5	5
157	post	OG	4	3	2	3
158	pre	IG	3	3	3	3
158	pre	OG	2	2	2	2
158	post	IG	4	4	4	4
158	post	OG	1	1	1	1
159	pre	IG	3	2	2	2
159	pre	OG	3	2	2	3
159	post	IG	2	3	3	3
159	post	OG	3	2	2	3
160	pre	IG	5	4	4	5
160	pre	OG	3	4	2	3
160	post	IG	4	4	4	5
160	post	OG	2	2	2	3
161	pre	IG	4	4	4	4
161	pre	OG	3	3	3	3
161	post	IG	3	3	3	3
161	post	OG	3	3	3	3
162	pre	IG	4	3	4	5
162	pre	OG	4	4	3	3
162	post	IG	5	3	4	4
162	post	OG	5	4	3	4
163	pre	IG	3	4	4	3
163	pre	OG	4	3	3	4
163	post	IG	3	3	4	3
163	post	OG	5	3	4	3
164	pre	IG	5	4	5	4
164	pre	OG	3	3	2	2
164	post	IG	4	4	5	5
164	post	OG	3	4	3	3
165	pre	IG	5	5	5	5
165	pre	OG	4	4	4	4
165	post	IG	5	5	5	5
165	post	OG	4	4	4	4
166	pre	IG	4	3	3	4
166	pre	OG	4	3	3	3
166	post	IG	3	3	3	3
166	post	OG	3	3	3	3
167	pre	IG	5	4	4	5
167	pre	OG	4	4	4	5
167	post	IG	5	4	4	5
167	post	OG	4	4	4	5
168	pre	IG	3	4	2	5
168	pre	OG	3	3	3	5
168	post	IG	4	4	3	4
168	post	OG	4	4	3	3
169	pre	IG	5	4	5	4
169	pre	OG	5	5	5	4
169	post	IG	4	4	4	4
169	post	OG	5	5	5	5
170	pre	IG	3	2	3	4
170	pre	OG	3	4	3	4
170	post	IG	4	3	2	3
170	post	OG	2	3	4	4
171	pre	IG	4	4	4	4
171	pre	OG	3	3	3	3
171	post	IG	4	4	4	4
171	post	OG	4	4	4	4
172	pre	IG	5	5	5	5
172	pre	OG	5	5	5	5
172	post	IG	5	5	5	5
172	post	OG	5	5	5	5
173	pre	IG	5	5	5	5
173	pre	OG	4	3	5	3
173	post	IG	5	5	5	5
173	post	OG	4	4	3	3
174	pre	IG	4	4	4	3
174	pre	OG	4	4	3	3
174	post	IG	3	4	4	3
174	post	OG	3	3	3	3
175	pre	IG	4	5	4	3
175	pre	OG	3	4	4	3
175	post	IG	3	3	5	3
175	post	OG	3	2	4	4
176	pre	IG	4	3	3	4
176	pre	OG	4	3	4	3
176	post	IG	3	3	4	4
176	post	OG	4	3	4	3
177	pre	IG	3	4	2	3
177	pre	OG	4	1	2	3
177	post	IG	4	3	2	3
177	post	OG	4	4	3	3
178	pre	IG	3	3	3	3
178	pre	OG	3	3	3	3
178	post	IG	4	4	4	4
178	post	OG	4	4	4	4
179	pre	IG	3	3	2	2
179	pre	OG	2	2	1	1
179	post	IG	4	4	4	4
179	post	OG	3	3	2	2
180	pre	IG	3	4	3	3
180	pre	OG	2	2	3	3
180	post	IG	3	2	3	3
180	post	OG	4	2	3	3
181	pre	IG	4	4	4	4
181	pre	OG	3	3	3	3
181	post	IG	5	5	5	5
181	post	OG	4	4	4	4
182	pre	IG	3	3	3	3
182	pre	OG	3	3	3	3
182	post	IG	2	2	3	3
182	post	OG	5	5	3	3
183	pre	IG	5	4	5	5
183	pre	OG	5	5	5	5
183	post	IG	5	5	5	5
183	post	OG	5	5	5	5
184	pre	IG	3	3	4	4
184	pre	OG	4	4	3	3
184	post	IG	3	4	3	3
184	post	OG	4	4	3	3
185	pre	IG	5	4	5	4
185	pre	OG	5	4	5	4
185	post	IG	5	4	5	4
185	post	OG	5	4	5	4
186	pre	IG	3	3	2	2
186	pre	OG	3	3	2	2
186	post	IG	3	3	2	2
186	post	OG	3	3	2	2
187	pre	IG	4	3	3	4
187	pre	OG	4	4	3	3
187	post	IG	3	4	4	3
187	post	OG	3	3	4	4
188	pre	IG	4	4	4	4
188	pre	OG	4	4	4	4
188	post	IG	4	4	4	4
188	post	OG	3	3	3	3
189	pre	IG	4	5	3	5
189	pre	OG	3	4	3	4
189	post	IG	4	3	5	4
189	post	OG	4	5	4	4
190	pre	IG	3	4	3	3
190	pre	OG	3	4	3	3
190	post	IG	3	4	3	3
190	post	OG	4	3	3	3
191	pre	IG	3	3	3	3
191	pre	OG	3	3	2	2
191	post	IG	3	3	3	3
191	post	OG	2	2	2	2
192	pre	IG	3	3	3	4
192	pre	OG	3	4	3	4
192	post	IG	3	3	3	4
192	post	OG	3	3	4	4
193	pre	IG	5	4	4	5
193	pre	OG	3	4	4	4
193	post	IG	4	5	4	3
193	post	OG	4	4	3	4
194	pre	IG	3	4	3	4
194	pre	OG	4	3	4	3
194	post	IG	3	4	3	3
194	post	OG	3	4	4	3
195	pre	IG	5	5	5	5
195	pre	OG	5	5	5	5
195	post	IG	5	5	5	5
195	post	OG	5	5	5	5
196	pre	IG	5	5	4	4
196	pre	OG	2	3	3	3
196	post	IG	4	4	4	4
196	post	OG	3	3	3	3
197	pre	IG	2	2	2	2
197	pre	OG	4	4	4	4
197	post	IG	3	3	3	3
197	post	OG	3	3	3	3
198	pre	IG	4	4	2	5
198	pre	OG	5	4	2	5
198	post	IG	5	4	2	5
198	post	OG	4	5	2	5
199	pre	IG	4	4	4	4
199	pre	OG	4	3	2	3
199	post	IG	4	4	4	4
199	post	OG	4	3	2	4
200	pre	IG	3	4	3	5
200	pre	OG	4	1	3	3
200	post	IG	4	4	5	3
200	post	OG	4	4	2	3
201	pre	IG	3	5	4	5
201	pre	OG	4	3	5	4
201	post	IG	4	5	4	3
201	post	OG	5	4	4	3
202	pre	IG	5	5	5	5
202	pre	OG	4	5	4	5
202	post	IG	5	4	4	5
202	post	OG	5	4	4	5
203	pre	IG	5	4	5	5
203	pre	OG	2	2	1	1
203	post	IG	4	5	4	4
203	post	OG	2	2	1	1
204	pre	IG	4	4	3	3
204	pre	OG	3	3	3	3
204	post	IG	4	5	4	4
204	post	OG	4	4	3	4
205	pre	IG	5	5	4	5
205	pre	OG	4	2	2	3
205	post	IG	5	4	5	5
205	post	OG	4	4	2	3
206	pre	IG	3	3	3	3
206	pre	OG	3	3	3	3
206	post	IG	5	5	5	5
206	post	OG	5	5	5	5
207	pre	IG	4	3	4	5
207	pre	OG	3	3	2	4
207	post	IG	4	3	2	5
207	post	OG	4	3	3	3
208	pre	IG	5	5	5	5
208	pre	OG	5	5	5	5
208	post	IG	5	5	5	5
208	post	OG	5	5	5	5
209	pre	IG	4	4	3	3
209	pre	OG	4	3	4	3
209	post	IG	3	4	3	4
209	post	OG	4	3	4	3
